번호,구분,종목,업종,증권사,상장일,"수요예측
경쟁률","일반청약
경쟁률",의무확약비율(전),의무확약비율(후),유통주식수 비율,유통주식 비율(후),시가총액,환매청구권,공모가,시초가,시초가 수익률,첫날 종가,종가 수익률,평균 매도가,수익률,수익금,세금 고려
1,일반,레몬헬스케어,소프트웨어 개발 및 공급업,KB증권,2026-07-06,1238.0,1510.57,6.92%,74.17%,33.19%,24.86%,1335억,무,10000,16560,65.60%,9400,-43.24%,,,,
2,일반,레메디,의료용 기기 제조업,KB증권,2026-07-13,1146.41,1706.71,17.93%,77.50%,41.03%,31.89%,1579억,무,20700,30750,48.55%,22000,-28.46%,,,,
3,일반,에이치엘지노믹스,기초 의약물질 제조업,"KB증권, IBK투자증권",2026-07-24,714.52,667.18,1.91%,34.58%,33.00%,24.41%,1673억,무,21500,21500,0.00%,14790,-31.21%,,,,
4,일반,인제니아테라퓨틱스,자연과학 및 공학 연구개발업,삼성증권,2026-08-18,50.4,,2.23%,,25.60%,,5933억,무,12000,,,,,,,,
5,일반,딜리셔스,무점포 소매업,한국투자증권,2026-08-12,184.06,,0.10%,,36.93%,,1532억,유,7000,,,,,,,,
