연도,번호,구분,종목,업종,증권사,수요예측_경쟁률,밴드상단_초과비율,일반청약_경쟁률,의무확약비율_전,의무확약비율_후,유통주식수_비율,유통주식_비율_후,시가총액_억원,환매청구권,특이점,공모가,시초가,시초가_수익률,첫날_종가,종가_수익률,평균_매도가,수익률,수익금,세금_고려
2025,1,일반,아스테라시스,미용기기,DB투자증권,1242.4,,1791.34,0.0998,0.6482,0.3661,0.3208333333333333,1680.0,,,4600.0,7770.0,0.6891304347826087,6640.0,-0.1454311454311454,8760.0,0.9043478260869564,74880.0,
2025,2,일반,삼양엔씨캠,반도체 소재,KB증권,1242.26,,1282.0,0.0114,0.0379,0.196,0.193945613134941,1949.0,,,18000.0,23650.0,0.3138888888888889,17900.0,-0.2431289640591966,20000.0,0.1111111111111111,7880.0,
2025,3,일반,LG CNS,it,,114.38,,123.0,0.1057,0.213,0.2849,0.2879261389002982,55997.0,,,61900.0,60500.0,-0.0226171243941841,55800.0,-0.0776859504132231,,,,
2025,4,일반,위너스,배선부품,미래에셋,1155.04,,1747.74,0.0446,0.0085,0.2481,0.2199312714776632,582.0,,,8500.0,23450.0,1.758823529411765,34000.0,0.4498933901918976,23500.0,1.7647058823529411,209497.0,
2025,5,일반,엠디바이스,ssd,삼성증권,1366.65,,1696.19,0.049,0.194,0.5306,0.5158730158730159,882.0,유,환매청구권,8350.0,18000.0,1.155688622754491,11100.0,-0.3833333333333333,17990.0,1.154491017964072,96126.0,
2025,6,일반,서울보증보험,보험,"삼증, 미래",240.8,,8.59,0.1631,0.4865,0.1415,0.1200352558805707,18153.0,,3년간 배당 2천억,26000.0,28050.0,0.0788461538461538,32000.0,0.1408199643493761,,,,
2025,7,일반,한텍,화공/탱크,대신,951.52,,1397.21,0.1974,0.4954,0.2974,0.1873438800999167,1201.0,,,10800.0,25000.0,1.3148148148148149,26400.0,0.056,26800.0,1.4814814814814814,286326.0,
2025,8,일반,씨케이솔루션,2차전지 설비,NH투자,1020.35,,1320.7,0.0546,0.1841,0.2901,0.2774390243902439,1640.0,,,15000.0,27550.0,0.8366666666666667,18760.0,-0.3190562613430127,,,,
2025,9,일반,티엑스알로보틱스,물류자동화,"NH, 신한, 유진",862.62,,816.27,0.061,0.2036,0.1989,0.1686631528509822,2087.0,,,13500.0,21300.0,0.5777777777777777,20700.0,-0.028169014084507,25350.0,0.8777777777777778,153546.0,
2025,10,일반,더즌,소프트웨어,한국투자,461.95,,222.01,0.0072,0.0847,0.187,0.180188679245283,2265.0,,,9000.0,9270.0,0.03,8080.0,-0.128371089536138,,,,
