작업일,회사,업종,개인청약_시작일,상장일,네이버_일정열,DART회사명,공시일,공시명,접수번호,DART_URL,공모가,증권사,수요예측_경쟁률,일반청약_경쟁률,의무확약비율_전,의무확약비율_후,의무보유확약_계,의무보유확약_미확약,의무보유확약_후_계,의무보유확약_후_미확약,시가총액_억원,유통가능주식수,유통가능비율,유통가능비율_후,시초가,첫날_종가,시초가_수익률,종가_수익률,환매청구권,공모가_근거,수요예측_근거,의무확약_근거,발행실적_접수번호,발행실적_URL,발행실적_근거,시가총액_근거,유통가능_근거,가격_근거,네이버_원자료,오류
2026-07-03,레몬헬스케어,소프트웨어 개발 및 공급업,2026-06-24,2026-07-06,회사명 직접입력,레몬헬스케어,20260623,[기재정정]투자설명서,20260623000244,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260623000244,10000.0,KB증권,1238.0,1510.57,0.06915709389963619,0.7417166666666667,1857004000.0,1728579000.0,1500000.0,387425.0,1335.1559,4431420.0,33.19,0.24857359354064945,16560.0,9400.0,0.6559999999999999,-0.43236714975845414,무,"지도 확대 600 950 950 2,500 채무상환자금 차입금 상환 1,790 - - 1,790 합 계 - 6,670 7,945 4,850 19,465 주) 상기 금액은 확정공모가액인 10,000원 기준입니다. (1) 의료 AI 학습용 의료데이터 유통·거래 플랫폼 구축 당사는 LDB 기술 기반 의료데이터 수집 인프라를 활용하여 의료 AI 학습용 의료데이터 유통·거래 플랫폼 구축을 추진하고 있으며, 관련 자금은 제도적 기반 마련, 데이터 처리 인프라 구축, 사업화 기반 확보 및 관련 인력 확보에 단계적","수량 70,609,000 631,440,000 201,535,000 52,780,000 12,000,000 631,830,000 217,860,000 34,450,000 4,500,000 1,857,004,000 경쟁률주2) 47.07 420.96 134.36 35.19 8.00 421.22 145.24 22.97 3.00 1238.00 주1) 대표주관회사와 거래관계가 있거나 대표주관회사가 실재성을 인지하고 있는 외국 기관투자자입니다. 주2) 경쟁률은 기관투자자 배정주수 1,500,000주를 기준으로 산출한 단순경쟁률입니다. (나) 수요예측 신청가격 분포 (단위: 건, 주) 구분 국내 기관투자자 외국 기관투자자 합계 운용사(집합) 운용사(고유) 투자매매ㆍ중개업","계 81 34,450,000 10,379 3 4,500,000 10,000 2,233 1,857,004,000 10,002 / 미확약 79 33,150,000 10,334 3 4,500,000 10,000 2,083 1,728,579,000 10,002",20260629000505,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260629000505,"일반투자자 500,000 25.0 313,347 755,284,210 3,776,421,050,000 99.6 257,332 500,000 5,000,000,000 25.0 / 합계 운용사(집합) 투자매매ㆍ중개업자 연기금,운용사(고유)은행,보험 기타 거래실적유 거래실적무 수량 비중 수량 비중 수량 비중 수량 비중 수량 비중 수량 비중 수량 비중 6개월 확약 146,116 15.48 - - 9,421 15.52 140,977 46.64 - - - - 296,514 19.77 3개월 확약 - - - - - - - - - - - - - - 1개월 확약 61,973 6.56 - - - - 20,745 6.86 9,220 4.92 - - 91,938 6.13 15일 확약 614,184 65.06 - - 25,593 42.16 83,426 27.60 920 0.49 - - 724,123 48.27 미확약 121,772 12.90 5,457 100.00 25,686 42.32 57,150 18.91 177,360 94.59 - - 387,425 25.83 계 944,045 100.00 5,457 100.00 60,700 100.00 302,298 100.00 187,500 100.00 - - 1,500,000 100.00 / 미확약 121,772 12.90 5,457 100.00 25,686 42.32 57,150 18.91 177,360 94.59 - - 387,425 25.83","경우 당사의 영업 및 재무구조에 부정적인 영향을 미칠 수 있으므로 투자자께서는 이 점 유의하시고 투자에 임하시길 바랍니다. 기타 투자위험 가. 상장 이후 유통물량 출회에 따른 위험 금번 공모예정주식을 포함한 당사의 상장예정주식수 13,351,559주 중 최대주주인 홍병진 대표이사 및 최대주주등에 해당하는 특수관계인 2인(조정해, 홍수민)이 보유한 3,738,120주 (공모 후 기준 28.00%)는 「코스닥시장 상장규정」 제26조 제1항 제1호에 의거하여 상장일로부터 1년간 의무보유 대상 주식이나, 당사는 경영안정성을 강화하기 위해 보유한 주식 전량에 대해 「코스닥시 * 주당공모가액","하는 경우 10억원에 해당하는 물량)를 인수하여 상장 후 3개월간 의무보유 예정입니다. 단, 금번 공모물량 중 실권주가 발생하여 상장주선인이 인수하게 될 경우 상장주선인이 취득하는 수량은 변경될 수 있습니다. 상기 의무보유 수량을 제외한 주식수 4,431,420주(33.19%)는 상장 직후 시장에서 유통가능한 물량입니다. 한편, 주식매수선택권의 행사로 인한 발행가능주식수는 104,000주이며 해당 주식매수선택권은 상장일로부터 1개월 이내 행사 가능합니다. 또한 상장주선인에게 부여된 신주인수권 100,000주는 상장일로부터 3개월에서 18개월 이내 행사 가능하며, 이를 포함한 완전희석 가정 시 상장가능주식수는 총 13,555",네이버 일별시세 365660 20260706,"종목: 코스닥레몬헬스케어 공모가 10,000 업종 소프트웨어 개발 및 공급업 주관사 KB증권 개인청약경쟁률 1,510.57:1 개인청약 26.06.24~06.25 상장일 26.07.06 | 투자정보: PDF[IPO] 레몬헬스케어 IR BOOK PDF[IPO] 레몬헬스케어 기업개요",
2026-07-03,레메디,의료용 기기 제조업,2026-07-01,2026-07-13,회사명 직접입력,레메디,20260626,[기재정정]투자설명서,20260626000243,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626000243,20700.0,KB증권,1146.41,1706.71,0.17931647424614836,0.775,1031768000.0,846755000.0,900000.0,202500.0,1578.538737,3129160.0,41.03,0.31887315033942054,,,,,무,"Capital) 300 300 - 600 채무상환자금 차입금 상환 5,008 - - 5,008 합 계 - 9,408 10,150 4,645 24,203 주) 상기 금액은 확정공모가액인 20,700원 기준이며, 추후 실제 비용 발생 여부 에 따라 변동될 수 있습니다. 공모자금 유입액 이외, 추가적인 자금 소요는 증권신고서 제출일 현재 보유하고 있는 현금 및 현금성자산과 향후 영업활동을 통해 유입될 자금을 통하여 집행할 계획입니다. (1) 시설자금 본 시설자금 투자를 통해 당사는 자동화·표준화된 생산 체","6 수량 42,333,000 353,737,000 107,859,000 33,955,000 5,400,000 342,952,000 122,566,000 20,122,000 2,844,000 1,031,768,000 경쟁률 47.04 393.04 119.84 37.73 6.00 381.06 136.18 22.36 3.16 1,146.41 주1) 대표주관회사와 거래관계가 있거나 대표주관회사가 실재성을 인지하고 있는 외국 기관투자자입니다. 주2) 경쟁률은 기관투자자 배정주수 900,000주를 기준으로 산출한 단순경쟁률입니다. (나) 수요예측 신청가격 분포 (단위: 건, 주) 구분 국내 기관투자자 외국 기관투자자 합계 운용사(집합) 운용사(고유) 투자매매, 중개업자","합계 84 20,122,000 21,403 5 2,844,000 20,700 2,246 1,031,768,000 20,728 / 미확약 78 18,150,000 21,211 - - - 1,784 846,755,000 20,728",20260706000401,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260706000401,"일반투자자 300,000 25.0 316,557 512,013,160 5,299,336,206,000 99.6 174,114 300,000 6,210,000,000 25.0 / 합계 운용사(집합) 투자매매ㆍ중개업자 연기금,운용사(고유)은행,보험 기타 거래실적유 거래실적무 수량 비중 수량 비중 수량 비중 수량 비중 수량 비중 수량 비중 수량 비중 6개월 확약 19,106 3.33 0 0.00 746 1.98 45,160 26.58 0 0.00 - - 65,012 7.22 3개월 확약 80,807 14.07 0 0.00 3,894 10.33 12,647 7.44 6,000 5.56 - - 103,348 11.48 1개월 확약 215,002 37.42 0 0.00 10,331 27.41 49,271 29.00 3,880 3.59 - - 278,484 30.94 15일 확약 196,406 34.19 6,330 63.68 9,434 25.03 35,476 20.88 3,010 2.79 - - 250,656 27.85 미확약 63,167 11.00 3,611 36.32 13,291 35.26 27,321 16.08 95,110 88.06 - - 202,500 22.50 계 574,488 100.00 9,941 100.00 37,696 100.00 169,875 100.00 108,000 100.00 - - 900,000 100.00 / 미확약 63,167 11.00 3,611 36.32 13,291 35.26 27,321 16.08 95,110 88.06 - - 202,500 22.50","차이가 발생할 가능성이 있고, 잠정실적과 확정실적의 차이에 따른 주가하락 등의 위험이 존재하는 점을 유의하시기 바랍니다. 기타 투자위험 가. 상장 이후 유통물량 출회에 따른 위험 금번 공모예정주식을 포함한 당사의 상장예정주식수 7,625,791주 중 최대주주인 이레나 및 최대주주등에 해당하는 특수관계인 4인(송준호, 송병훈, LEE LISA OKJAE, 조봉호)이 보유한 3,296,749주(공모 후 기준 43.23%)는「코스닥시장 상장규정」제26조 제1항 제1호 및 동항 단서 조항에 따라 의무보유 기간을 2년 추가하여 상장일로부터 총 3년간 의무보유합니다. 최대 * 주당공모가액","하는 경우 10억원에 해당하는 물량)를 인수하여 상장 후 3개월간 의무보유 예정입니다. 단, 금번 공모물량 중 실권주가 발생하여 상장주선인이 인수하게 될 경우 상장주선인이 취득하는 수량은 변경될 수 있습니다. 상기 의무보유 수량을 제외한 주식수 3,129,160주(41.03%)는 상장 직후 시장에서 유통가능한 물량입니다. 한편, 주식매수선택권의 행사로 인한 발행가능주식수는 395,398주이며 해당 주식매수선택권 중 305,941주는 상장일로부터 1개월 이내 행사 가능합니다. 또한, 상장주선인에게 부여된 신주인수권 80,000주는 상장일로부터 6개월에서 18개월 이내 행사 가능하며, 이를 포함한 완전희석 가정 시 상장가능주식",,"종목: 코스닥레메디 공모가 20,700 업종 의료용 기기 제조업 주관사 KB증권 개인청약경쟁률 1,706.71:1 개인청약 26.07.01~07.02 상장일 26.07.13 | 투자정보: PDF[IPO] 레메디 IR BOOK PDF[IPO] 레메디 기업개요",
2026-07-12,에이치엘지노믹스,기초 의약물질 제조업,2026-07-13,2026-07-24,개인청약,에이치엘지노믹스,20260710,[기재정정]투자설명서,20260710000298,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260710000298,21500.0,및,,,0.019090625361482202,,1374549000.0,1348308000.0,,,,2565000.0,33.0,,,,,,무,"에 따라 실행하고있습니다. 이번 공모자금 또한 동일한 내부 규정 및 통제 절차에 따라 집행 및 운용할계획입니다. 또한 현재 당사의 공모자금 사용 계획은 대표주관회사 및 공동주관회사와 발행회사가 함께 협의하여 결정한 확정공모가액인 21,500원을 기준으로 작성되었으며, 금번 당사의 상장 공모를 위한 공모가격은 증권 인수업무 등에 관한 규정」 제5조(주식의 공모가격 결정 등)에서 정하는 수요예측에 의한 방법에 따라 결정되었습니다. 당사는 공모 자금 전액을 시설자금에 우선적으로 집행할 계획이며 공모자금 유입액 이외, 추가적인 자금 소요는 증권신고서 제출일 현재 보",,"합계 56 76,154,000 21,347 655 451,869,000 21,487 299 132,769,000 21,512 34 57,888,000 21,643 4 7,692,000 21,500 850 428,598,000 21,526 173 186,779,000 21,514 구분 외국 기관투자자 합계 거래실적 유주1) 거래실적 무 건수 수량 신청가격 건수 수량 신청가격 건수 수량 신청가격 6개월 확약 - - - - - - 12 11,886,000 21,500 3개월 확약 - - - - - - 4 300,000 21,500 1개월 확약 - - - - - - 6 2,340,000 21,500 15일 확약 - - - - - - 67 11,715,000 21,582 미확약 77 32,800,000 22,594 - - - 2,059 1,348,308,000 21,582 합계 77 32,800,000 22,594 - - - 2,148 1,374,549,000 21,582 / 미확약 77 32,800,000 22,594 - - - 2,059 1,348,308,000 21,582",,,,,"500원 중 최저가액인 18,500원 기준으로 확정 공모가격에 따라 일부 변동될 수 있으며, 금번 공모물량 중 실권주가 발생하여 상장주선인이 인수하게 될 경우 상장주선인이 취득하는 수량은 변경될 수 있습니다. 상기 의무보유 수량을 제외한 주식수 2,565,000주(33.0%)는 상장 직후 시장에서 유통가능한 물량입니다. 한편, 증권신고서 제출일 현재 회사가 부여하거나 발행한 희석가능한 주식(주식매수선택권, 신주인수권, 전환사채 등)은 없습니다.상장일 및 의무보유 기간 만료 후 유통가능물량의 단기간 내 급격한 출회는 주가에 부정적인 영향을 미칠 수 있으며, 의무보유기간 종료 후 주요 주주 등의 소유주식 매각은 당사의 사업성",,"종목: 코스닥에이치엘지노믹스 공모가 21,500 업종 기초 의약물질 제조업 주관사 KB증권, IBK투자증권 진행상태 공모청약 팁 STEP1 예심청구 한국거래소의 상장을 준비하는 기업이 첨부서류와 상장 예비 심사를 청구하는 것. STEP2 심사승인 상장 예비심사 신청서를 제출한 기업에 대해 상장적격성 심사결과 승인이 인정된 것. STEP3 수요예측 주식을 공모함에 있어 기관투자자의 수요를 파악하는 것으로 최종 공모가격이 결정됨. STEP4 공모청약 일반인으로부터 공모주식에 대해 청약을 받아 주식을 배정하는 것. 닫기 개인청약 26.07.13~07.14 상장일 26.07.24 | 투자정보: PDF[IPO] 에이치엘지노믹스 IR BOOK PDF[IPO] 에이치엘지노믹스 기업개요",
